===== Sheet 1 : 肢体动作 =====
Row 1: A=一、肢体动作代表什么意思（50 条）
Row 3: A=肢体动作 | B=含义 | C=补充说明
Row 49: A=爪子紧紧抓住你的手 | B=怕摔、寻求安全感（幼猫更常见） | C=可轻声安抚
Row 50: A=伸出爪子轻碰你（不伸出爪） | B=请求互动、想要食物或抚摸 | C=是非常温和的"打扰"
Row 51: A=爪子不伸出地拍打你 | B=玩闹、警告、试探 | C=是游戏也是"再想想"信号
Row 52: A=玩弓姿势（前半身压低、后半身翘起） | B=邀请游戏、捕猎演练 | C=经典"狩猎模式"
Row 53: A=突然"疯跑"（Frenetic Random Activity Periods） | B=释放能量、捕猎本能 | C=傍晚/夜里常见，是正常现象
Row 54: A=尾巴根部快速颤动（贴着猫或人） | B=激动、占有、极度喜欢 | C=你回到家的那一刻最常见
Row 55: A=理毛后突然停下来盯着你 | B=打断理毛关注你 | C=代表它优先注意到你，是亲昵表现
Row 56: A=提示：单看一个动作容易误判，结合耳朵、瞳孔、尾巴、身体姿势与声音综合判断更准确。
===== Sheet 2 : 叫声含义 =====
Row 1: A=二、叫声代表什么含义（50 条）
Row 3: A=叫声 | B=含义 | C=场景/补充
Row 4: A=短促"喵"（单声） | B=普通招呼、"你好" | C=猫与猫之间少用，是专门对人的社交语言
Row 5: A=轻柔短促的"喵" | B=礼貌问好或轻度索求 | C=常见于刚睡醒时的问候
Row 6: A=连续多声"喵喵喵" | B=兴奋、欢迎、引起注意 | C=回家时最常见
Row 7: A=拉长声"喵~~~~~" | B=抱怨、强烈索求（多数是要食物） | C=伴随走来走去是"饭呢？饭呢？"
Row 8: A=高频尖锐"喵" | B=惊讶、被吓、不满 | C=突然看到虫或被踩到尾巴
Row 9: A=低频短"喵" | B=不悦、警告 | C=如正玩得开心被打断
Row 10: A=反复小声"喵"（一停一停） | B=困惑、想被理解 | C=常出现在找不到你的时候
Row 11: A="嗯嗯"短促鼻音 | B=温和招呼、不想太打扰 | C=相当于"嗯，是我"
Row 12: A="唔"闷哼 | B=被触摸舒服时的回应 | C=常伴随揉面
Row 13: A=咕噜咕噜（短促） | B=满足、放松 | C=常在吃奶、被抚摸时出现
Row 14: A=咕噜咕噜（持续、高响） | B=表达亲密 | C=但也用于自我安抚，如病痛或紧张时
Row 15: A=咕噜声+鼻音颤音 | B=极放松+亲近 | C=是猫最柔和的声音之一
Row 16: A=颤音（短促上升的"咩"） | B=友善打招呼 | C=多猫家庭中母猫对幼猫用
Row 17: A="啾啾"（bird-like chirp） | B=观察窗外猎物时的捕猎兴奋 | C=是捕捉不到猎物的"挫败+兴奋"
Row 18: A="咔咔"声（chattering，牙齿打颤） | B=极度捕猎兴奋、焦虑 | C=看鸟或飞虫时特有
Row 19: A="嘎嘎"牙齿打颤声 | B=高强度捕猎亢奋 | C=有人认为是模仿猎物叫声
Row 20: A="咩~咩~"短绵羊叫声 | B=玩耍或极度兴奋 | C=个别猫的特殊表达，不普遍
Row 21: A="咔嗒咔嗒"（嘴上下磕碰） | B=轻度捕猎/模仿猎物 | C=和"咔咔"类似但声音更清脆
Row 22: A=咆哮（低沉、喉音） | B=强警告、不许靠近 | C=已是攻击前奏
Row 23: A=低吼（带振动） | B=愤怒或威胁 | C=伴随弓背、炸毛
Row 24: A=哈气（短促"呸"） | B=恐惧或警告 | C=随时准备攻击
Row 25: A=嘶嘶声（长嘶） | B=极度恐惧或威吓 | C=猫的"最后警告"
Row 26: A=长嚎（夜晚"啊呜~"） | B=未绝育公猫争夺地盘/求偶；母猫发情 | C=建议尽早绝育可大幅减少
Row 27: A=母猫发情期"嗷"叫 | B=求偶 | C=伴随打滚、蹭地
Row 28: A=幼猫尖细"咪咪"声 | B=找妈妈、冷、饿、求助 | C=提示环境过冷或与母猫分离
Row 29: A=短促尖"喵"（幼猫） | B=受惊或找同伴 | C=幼猫离开同伴时常发出
Row 30: A=沙哑"喵"或几乎无声 | B=老年猫、喉咙发炎、咽部疾病 | C=需就医检查
Row 31: A="嗬嗬"呼吸道杂音 | B=呼吸道感染、哮喘、心脏问题 | C=持续出现需就医
Row 32: A=吞咽声（"咕"） | B=反胃、咽部异物、口炎 | C=频繁出现需就医
Row 33: A=睡觉时打呼噜 | B=放松的鼻/软腭振动 | C=短吻品种（加菲、英短）更常见
Row 34: A="嗯~"（闭眼呼气） | B=放松/被打断的小抗议 | C=是被抱太久时常见
Row 35: A=叹气般的"呼~" | B=放松、解气、结束一件事 | C=和人类叹气相似
Row 36: A="咕——"（短促咕+轻声） | B=略不情愿但接受 | C=如被抱起后轻声说"咕——"
Row 37: A="喵呜~"（末尾带颤音） | B=疑惑或提出问题 | C=如"这是什么？为什么？"
Row 38: A="啊啊"连续哭喊 | B=极度不适、疼痛或分离焦虑 | C=与受惊叫接近但持续时间更长
Row 39: A=夜间"啊呜~啊呜~"长嚎 | B=老年猫认知障碍/迷路/疼痛 | C=应与年轻猫发情区分
Row 40: A="嚓嚓"声（磨牙） | B=牙齿/口腔疾病 | C=尤其吃饭时需关注
Row 41: A=玩弄"咯咯"声 | B=玩玩具时的兴奋短音 | C=对某些玩具特有
Row 42: A="咕噜"声（强烈、节律稳定） | B=极度满足 | C=代表"我是世界上最舒服的猫"
Row 43: A=安静无言的凝视+微张嘴 | B=高度警觉+评估 | C=通常是它"看不懂"或犹豫要不要靠近
Row 44: A="咪"（短促） | B=礼貌打招呼/轻度索求 | C=常发生在早晨你刚起床时
Row 45: A="咔嚓"咬东西的声音 | B=捕猎、啃咬 | C=伴随咬玩具或抓到"猎物"
Row 46: A="嗷"（突然大叫） | B=被踩到/剧痛/惊吓 | C=通常对应了具体事件
Row 47: A="啊——"（长哀鸣） | B=强烈抗议、疼痛 | C=被关在门外或不被允许上床时
Row 48: A="咕咚"吞咽口水声 | B=饥饿、口渴、口腔问题 | C=若伴随大量流口水需就医
Row 49: A="咕咕"（强烈+振翅） | B=社交信号、伴随蹭人 | C=表示非常爱你
Row 50: A="咔"单次清喉声 | B=反胃、吐毛球前奏 | C=常在呕吐前听到
Row 51: A="呜呜"低频长音 | B=应激、害怕 | C=与低吼不同，更显无助
Row 52: A="咳——咳"短促干咳 | B=哮喘、心丝虫、误吸 | C=反复出现需就医
Row 53: A="嗝"（猫偶尔打嗝） | B=进食过快、刺激 | C=若频繁需检查食道
Row 54: A="哒哒"嘴部磕碰声（突发） | B=突然看到猎物的应激反应 | C=是捕猎本能
Row 55: A=提示：同样的叫声在不同猫、不同场景下可能含义差异大，需结合肢体动作综合判断。
===== Sheet 3 : 病症预警 =====
Row 1: A=三、病症预警：哪些行为可能是生病了（50 条）
Row 3: A=异常行为/表现 | B=可能对应的病症 | C=建议
Row 4: A=食欲突然大增 | B=糖尿病、甲亢、肠道寄生虫 | C=伴随大量饮水更需警惕
Row 5: A=食欲突然大减或完全不吃 | B=口腔疾病、胃肠炎、肝肾问题、应激、严重感染 | C=⚠️ 48 小时不吃东西会引发脂肪肝，尤其胖猫
Row 6: A=只对特定食物有兴趣（挑食加剧） | B=口腔疼痛、消化不良 | C=挑食突然改变需排查
Row 7: A=饮水量突然大增 | B=糖尿病、肾衰、甲亢 | C=⚠️ 多饮多尿是肾病典型信号
Row 8: A=饮水量明显减少 | B=脱水、口腔疼痛、全身不适 | C=伴随嗜睡需就医
Row 9: A=持续呕吐（区分吐毛球） | B=胃肠炎、毛球症、异物、肾衰、胰腺炎 | C=吐毛球每月 1-2 次属正常
Row 10: A=呕吐物带血或咖啡渣样 | B=胃肠溃疡、严重感染、异物 | C=⚠️ 急诊
Row 11: A=腹泻超过 2 天 | B=肠炎、寄生虫、食物不耐受、胰腺炎 | C=幼猫和老年猫更易脱水
Row 12: A=便秘超过 2 天 | B=便秘、巨结肠症、脱水 | C=反复便秘需排查结构问题
Row 13: A=频繁去猫砂盆但尿不出/只滴几滴 | B=公猫下尿路综合征（FLUTD） | C=⚠️ 急诊！24-48 小时不治可肾衰致死
Row 14: A=尿液发红/带血 | B=膀胱炎、尿路结石、自发性膀胱炎 | C=公猫高发
Row 15: A=尿液颜色异常深或异常浅 | B=肾衰、肝病、严重脱水 | C=伴随多饮多尿尤其危险
Row 16: A=排尿时大叫 | B=尿路疼痛、结石、膀胱炎 | C=不可拖延
Row 17: A=突然到处乱拉乱尿 | B=泌尿系统疾病、心理压力、领地标记 | C=先排除健康问题再考虑行为问题
Row 18: A=体重在 1-2 个月内下降 10%+ | B=糖尿病、甲亢、肿瘤、肾衰 | C=猫很能藏病，体重下降通常已是晚期
Row 19: A=体重异常增加 | B=甲减（少见）、代谢问题、过度喂食 | C=肥胖会引发多种继发病
Row 20: A=精神沉郁、嗜睡、长时间躲藏 | B=多种疾病通用信号 | C=猫不会"装病"
Row 21: A=突然攻击人、脾气大变 | B=身体某处疼痛（牙、关节、腹部）、应激 | C=先排查疼痛
Row 22: A=频繁抓挠某一部位 | B=皮肤病、跳蚤/蜱、真菌、外伤 | C=局部斑秃要警惕
Row 23: A=过度舔毛、频繁整片掉毛 | B=皮肤病、过敏、心理性脱毛（FHS） | C=应激也可致
Row 24: A=毛色黯淡、掉毛量明显增加 | B=营养不良、皮肤病、内分泌疾病、压力 | C=非换毛季大面积掉毛需关注
Row 25: A=皮肤出现红斑、结痂、皮屑 | B=真菌、螨虫、过敏、细菌感染 | C=人畜共患的真菌需注意防护
Row 26: A=第三眼睑（瞬膜）持续露出 | B=疾病、脱水、虚弱、肠道异物 | C=双眼都露出是强烈疾病信号
Row 27: A=眼睛发红、流泪、有分泌物 | B=结膜炎、角膜溃疡、疱疹病毒 | C=黄绿色分泌物=感染
Row 28: A=眼球凹陷或突出 | B=脱水/眼眶疾病 | C=需立即就医
Row 29: A=眼球颜色变浑浊/变蓝 | B=角膜水肿、白内障、青光眼 | C=老年猫需定期检查眼压
Row 30: A=鼻头干裂+持续发热 | B=发热、感染 | C=猫正常体温 38-39.2℃，超过 39.5℃ 为发热
Row 31: A=打喷嚏、流鼻涕（单侧或双侧） | B=上呼吸道感染（疱疹/杯状）、异物 | C=单侧鼻涕警惕异物或真菌
Row 32: A=鼻涕带血 | B=外伤、肿瘤、真菌、凝血异常 | C=不可拖延
Row 33: A=呼吸急促、张嘴呼吸 | B=哮喘、心脏病、肺炎、胸腔积液 | C=⚠️ 急诊！猫用嘴呼吸都是异常
Row 34: A=呼吸时伴随明显杂音/喘鸣 | B=气管塌陷、哮喘、呼吸道异物 | C=持续出现需 X 光检查
Row 35: A=走路摇摆、跛行、后肢无力 | B=骨折、关节病、心肌病血栓（马鞍状麻痹）、脊髓问题 | C=后肢突发无力为急诊
Row 36: A=后腿拖行、瘫痪 | B=血栓栓塞、脊髓损伤 | C=⚠️ 急诊
Row 37: A=身体局部一碰就疼/尖叫 | B=外伤、脓肿、骨折、关节炎 | C=需立即就医
Row 38: A=口腔异味、流口水、不肯吃硬粮 | B=口腔溃疡、牙结石、牙龈炎、齿吸收 | C=成年猫建议每年洁牙
Row 39: A=牙龈红肿、出血 | B=牙龈炎、牙周病 | C=重度牙周病可致全身感染
Row 40: A=口腔黏膜苍白或发黄 | B=贫血、黄疸（肝病） | C=黄疸需立即就医
Row 41: A=耳朵反复抓挠、黑褐色分泌物 | B=耳螨、真菌、外耳炎 | C=家庭常备耳漂可辅助预防
Row 42: A=耳朵倾斜、歪头 | B=前庭综合征、中耳炎、外伤 | C=突然歪头需立即就医
Row 43: A=听力明显下降（不反应） | B=老年性耳聋、慢性中耳炎 | C=可在家观察，但需排除急性病因
Row 44: A=皮肤下出现肿块/结节 | B=肿瘤、脓肿、脂肪瘤、疫苗反应 | C=新出现或快速变大需就医
Row 45: A=身上出现对称性掉毛 | B=内分泌疾病（库兴、甲减）、心理性脱毛 | C=需血液检查
Row 46: A=持续发热/低烧 | B=感染、肿瘤、免疫系统疾病 | C=与正常体温 38-39.2℃ 区分
Row 47: A=体温偏低（<37.5℃） | B=休克、低体温、濒死 | C=⚠️ 急诊
Row 48: A=无端呕吐白沫 | B=中毒、胃肠炎、癫痫前兆 | C=⚠️ 急诊
Row 49: A=抽搐、痉挛 | B=癫痫、中毒、严重代谢病、脑部疾病 | C=⚠️ 急诊
Row 50: A=昏厥/突然倒下 | B=心律失常、严重低血糖、心脏病 | C=⚠️ 急诊
Row 51: A=共济失调、绕圈走 | B=前庭疾病、脑部疾病、中毒 | C=需立即就医
Row 52: A=脱水（皮肤回弹慢） | B=胃肠炎、肾衰、糖尿病 | C=轻捏背部皮肤，回弹 >2 秒为异常
Row 53: A=腹围突然增大 | B=腹水、肿瘤、子宫蓄脓（未绝育母猫） | C=⚠️ 子宫蓄脓为急诊
Row 54: A=腹围突然变小 | B=消瘦、营养不良、严重消耗 | C=伴随其他症状需立即检查
Row 55: A=不明原因的尖叫或哀鸣 | B=疼痛、应激、认知障碍 | C=老年猫夜间嚎叫需排查认知障碍
Row 56: A=⚠️ 重要：以上仅作初步自查参考。猫极擅长隐藏病情，行为异常往往是早期信号，请勿观望，尽早就医。
===== Sheet 4 : 饮食注意 =====
Row 1: A=四、饮食注意：吃什么、不吃什么（50 条）
Row 3: A=类别 | B=食物/项目 | C=说明
Row 4: A=【安全 · 推荐】 | B=煮熟的鸡胸肉（无骨、无调味） | C=高蛋白低脂，是最好的加餐
Row 5: A=【安全 · 推荐】 | B=煮熟的牛肉/鸭肉（瘦） | C=注意去骨去筋膜
Row 6: A=【安全 · 推荐】 | B=煮熟的蛋黄（每周 1-2 个） | C=富含卵磷脂，美毛；蛋白易致敏，少给
Row 7: A=【安全 · 推荐】 | B=熟鸡肝（少量、偶尔） | C=维生素 A 丰富；维 A 过多会中毒，少量
Row 8: A=【安全 · 推荐】 | B=南瓜泥（蒸熟） | C=纤维丰富，便秘/腹泻都可辅助调节
Row 9: A=【安全 · 推荐】 | B=胡萝卜、西兰花（煮熟） | C=提供维生素，过量易胀气
Row 10: A=【安全 · 推荐】 | B=蓝莓、苹果（去核，少量） | C=抗氧化；苹果籽含微量氰化物必须去
Row 11: A=【安全 · 推荐】 | B=猫薄荷、木天蓼（少量） | C=可作为奖励或玩具
Row 12: A=【安全 · 推荐】 | B=营养全面的主粮（AAFCO 标准） | C=猫粮是营养均衡的基础
Row 13: A=【安全 · 推荐】 | B=煮熟的白米饭（少量） | C=能量来源，腹泻时少量可缓解
Row 14: A=【安全 · 推荐】 | B=鳕鱼、鲈鱼（去刺、煮熟） | C=海鱼蛋白丰富，刺必须挑净
Row 15: A=【谨慎 · 少量】 | B=淡水鱼（熟透、去骨） | C=长期大量易致维生素 B1 缺乏、黄脂病
Row 16: A=【谨慎 · 少量】 | B=奶、酸奶、奶酪 | C=多数猫乳糖不耐受；少量无糖酸奶可试
Row 17: A=【谨慎 · 少量】 | B=罐头、妙鲜包 | C=注意盐分、添加剂；不能替代主粮
Row 18: A=【谨慎 · 少量】 | B=猫条（零食类） | C=诱食剂多，建议作为奖励而非主食
Row 19: A=【谨慎 · 少量】 | B=肝脏类（鸡肝/猪肝） | C=维 A 含量高，每周不超过 1 次少量
Row 20: A=【谨慎 · 少量】 | B=生肉（高品质冻肉 + 配方补剂） | C=需按配方补钙、锌、牛磺酸；警惕沙门氏菌
Row 21: A=【⚠️ 绝对禁忌】 | B=洋葱、蒜、葱、韭菜、葱头 | C=含 N-丙基二硫化物 → 溶血性贫血
Row 22: A=【⚠️ 绝对禁忌】 | B=巧克力、可可、咖啡、茶 | C=可可碱/咖啡因中毒，心律失常可致死
Row 23: A=【⚠️ 绝对禁忌】 | B=葡萄、葡萄干 | C=可致急性肾损伤
Row 24: A=【⚠️ 绝对禁忌】 | B=木糖醇（无糖口香糖/低糖食品） | C=可致肝损伤、低血糖
Row 25: A=【⚠️ 绝对禁忌】 | B=鸡骨头、鱼骨头、尖锐骨刺 | C=可能划伤或刺穿消化道
Row 26: A=【⚠️ 绝对禁忌】 | B=生鸡蛋、生肉 | C=沙门氏菌风险；avidin 影响生物素吸收
Row 27: A=【⚠️ 绝对禁忌】 | B=酒精、含酒精饮品 | C=严重肝损伤，致命
Row 28: A=【⚠️ 绝对禁忌】 | B=人用药物（布洛芬、对乙酰氨基酚、阿司匹林） | C=一片扑热息痛可致死
Row 29: A=【⚠️ 绝对禁忌】 | B=百合类植物（含花粉） | C=对肾剧毒，少量即致肾衰
Row 30: A=【⚠️ 绝对禁忌】 | B=玉米棒芯 | C=整吞会卡住消化道
Row 31: A=【⚠️ 绝对禁忌】 | B=果核（桃、李、杏、樱桃） | C=含氰化物，且易卡肠道
Row 32: A=【⚠️ 绝对禁忌】 | B=含咖啡因饮品（可乐、能量饮料） | C=咖啡因中毒
Row 33: A=【⚠️ 绝对禁忌】 | B=含盐量过高的食物（火腿、腊肉、薯片） | C=盐中毒风险，肾负担重
Row 34: A=【⚠️ 绝对禁忌】 | B=生面团（含酵母） | C=胃中发酵膨胀，致胃扩张
Row 35: A=【⚠️ 致命植物】 | B=百合、水仙、郁金香、风信子（球茎） | C=肾毒/胃肠毒
Row 36: A=【⚠️ 致命植物】 | B=杜鹃花、夹竹桃、长春花 | C=心脏毒性
Row 37: A=【⚠️ 致命植物】 | B=芦荟、绿萝、滴水观音 | C=口腔/胃肠刺激
Row 38: A=【⚠️ 致命植物】 | B=苏铁、铁树 | C=肝毒性
Row 39: A=【饮水 · 重点】 | B=必须随时有干净饮用水 | C=公猫尤其要多喝水，预防下尿路疾病
Row 40: A=【饮水 · 重点】 | B=推荐流动水（宠物饮水机） | C=猫本能更偏好流动水源
Row 41: A=【饮水 · 重点】 | B=湿粮/罐头补水 | C=只吃干粮的猫容易长期缺水
Row 42: A=【饮水 · 重点】 | B=每日清洁水碗 | C=猫对水的新鲜度极敏感
Row 43: A=【饮水 · 重点】 | B=多猫家庭应多放水碗 | C=避免"领地"猫独占水源
Row 44: A=【喂养原则】 | B=定时定量，少食多餐 | C=幼猫 3-4 次/日；成猫 2 次/日
Row 45: A=【喂养原则】 | B=以营养均衡主粮为主 | C=营养全面是核心
Row 46: A=【喂养原则】 | B=换粮要 7 天过渡 | C=旧粮掺新粮逐步替换，避免急性腹泻
Row 47: A=【喂养原则】 | B=控制体重防肥胖 | C=肥胖会显著增加糖尿病、脂肪肝、关节病风险
Row 48: A=【喂养原则】 | B=幼猫（<1 岁）高蛋白高能量 | C=选择 kitten 专用粮
Row 49: A=【喂养原则】 | B=老年猫（>7 岁）低脂易消化 | C=关注肾与关节健康
Row 50: A=【喂养原则】 | B=绝育后降低热量摄入 20-30% | C=绝育后代谢率下降
Row 51: A=【喂养原则】 | B=孕期/哺乳期：增加热量与蛋白 | C=注意补钙、关注小猫体重
Row 52: A=【喂养原则】 | B=生病时遵照医嘱调整 | C=尤其肾病、糖尿病需专用处方粮
Row 53: A=【喂养原则】 | B=自制/生骨肉必须按配方补充 | C=尤其牛磺酸、钙、锌、维生素 E
Row 54: A=【喂养原则】 | B=定期称重（每月 1 次） | C=体重变化比外观更早反映健康
Row 55: A=💡 营养原则：以营养均衡的主粮为基础 + 随时供应新鲜饮水；自制/生骨肉务必按配方补齐必需营养素。
